Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
19354401087,"Jul 17, 2026, 8:34:29 PM",Afternoon Run,Run,"",936,3.00,,,false,,,,,,936.0,936.0,3000.0,,3.205,,,,,,0.0,,,,,,,,,206.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.205,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
19354394122,"Jul 17, 2026, 8:19:09 PM",Afternoon Activity,Weight Training,"",1800,0,,,false,,,,,,1800.0,1800.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
19342371113,"Jul 14, 2026, 9:44:35 PM",Afternoon Run,Run,"",1020,3.00,,,false,,,,,,1020.0,1020.0,3000.0,,2.941,,,,,,0.0,,,,,,,,,206.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.941,0.0,,,,,0.0,,,,,,,,,,,,,,,,media/9fe5aa14-eac5-4114-adef-2c4357de86bd.jpg|media/9de9b098-8a6b-443b-9a77-5553fe41f6d8.jpg
19342382106,"Jul 13, 2026, 9:46:16 PM",Afternoon Activity,Weight Training,"",2280,0,,,false,,,,,,2280.0,2280.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
19342363196,"Jul 11, 2026, 2:32:04 PM",Morning Run,Run,"",12458,8.12,,,false,,,activities/19342363196.gpx,,,12458.0,3164.0,8127.7,8.84,2.569,17.7,14.3,78.2,88.8,9.6,0.1,,,,,,,,,562.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,8170.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.652,155.1,,,,,0.0,,,,2.582,,,,,,,,,,,,""
19269804778,"Jul 11, 2026, 1:22:00 PM",morning jog 😶‍🌫️,Run,"",2143,5.32,,,false,,,activities/19269804778.gpx,,,2143.0,1880.0,5322.8,5.14,2.831,0.0,11.7,76.9,88.7,2.5,-0.2,,,,,,,,,365.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5306.9,,,,,,,,,,,,,,,,,,,,,,,,,,,2.484,3.0,,,,,0.0,,,,2.823,,,,,,,,,,,,""
19263249569,"Jul 10, 2026, 9:47:02 PM",Afternoon Run,Run,"",21013,23.42,,,false,,,activities/19263249569.gpx,,,21013.0,16395.0,23421.4,15.85,1.429,10.1,13.3,80.1,90.9,35.3,0.0,,,,,,,,,1614.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,23462.9,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.115,23.9,,,,,0.0,,,,1.431,,,,,,,,,,,,""
19258434525,"Jul 9, 2026, 3:30:23 PM",Lunch Activity,Weight Training,"",2400,0,,,false,,,,,,2400.0,2400.0,0.0,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,""
19244474316,"Jul 9, 2026, 11:29:49 AM",Morning 10,Run,"",5569,10.01,,,false,,,activities/19244474316.gpx,,,5569.0,3438.0,10012.1,7.24,2.912,14.1,14.5,76.2,90.6,13.3,0.0,,,,,,,,,690.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,10032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.798,422.0,,,,,0.0,,,,2.918,,,,,,,,,,,,""
19237337900,"Jul 7, 2026, 9:43:43 PM",pogo2,Run,"",7523,5.79,,,false,,,activities/19237337900.gpx,,,7523.0,3000.0,5792.8,9.1,1.931,13.4,13.8,79.5,91.1,7.7,0.0,,,,,,,,,400.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5809.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,253.2,,,,,0.0,,,,0.45,,,,,,,,,,,,""
19218336414,"Jul 6, 2026, 9:56:06 PM",pogo,Run,"",9417,7.27,,,false,,,activities/19218336414.gpx,,,9417.0,4074.0,7276.3,10.56,1.786,17.6,17.2,78.5,93.9,13.9,0.0,,,,,,,,,503.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,7314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.773,135.1,,,,,0.0,,,,1.832,,,,,,,,,,,,""
19218368235,"Jul 5, 2026, 6:25:15 PM",Afternoon Activity,Weight Training,"",3180,0,,,false,,,,,,3180.0,3180.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
